model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
model name	: Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
cpu cores	: 6
 
Total data:
user nice system idle iowait irq softirq
31667 38 14098 1441101 5672 1879 2536
31706 38 14117 1443446 5672 1882 2539
31733 38 14134 1445792 5672 1885 2542
31760 38 14142 1448157 5673 1887 2543
31808 38 14160 1450479 5673 1890 2547
31884 38 14182 1452770 5674 1895 2551
31925 38 14194 1455117 5674 1898 2553
31992 38 14215 1457419 5674 1902 2556
32079 38 14250 1459697 5675 1907 2561
32187 38 14275 1461956 5675 1913 2565
32225 38 14292 1464296 5675 1916 2568
32297 38 14320 1466581 5675 1921 2572
32367 38 14351 1468874 5675 1925 2576
32441 38 14372 1471173 5675 1929 2581
32495 38 14392 1473488 5675 1933 2584
32599 38 14428 1475745 5675 1938 2589
32666 38 14440 1478075 5676 1941 2590
32735 38 14463 1480385 5677 1945 2593
32832 43 14486 1482641 5677 1950 2596
32929 43 14500 1484926 5677 1954 2599
33017 43 14519 1487196 5677 1959 2603
33080 43 14531 1489520 5677 1962 2605
33150 43 14551 1491817 5678 1966 2609
33238 43 14569 1494085 5678 1970 2612
33336 43 14614 1496348 5679 1975 2615
33436 43 14638 1498636 5679 1980 2618
33537 43 14662 1500910 5680 1984 2621
33640 43 14698 1503169 5680 1989 2625
33714 43 14726 1505464 5681 1993 2629
33800 43 14751 1507758 5681 1998 2633
33870 43 14774 1510061 5681 2001 2636
33989 48 14805 1512300 5681 2007 2639
34100 48 14831 1514546 5682 2012 2643
34150 48 14842 1516880 5682 2016 2645
34284 48 14857 1519092 5683 2021 2648
34390 48 14877 1521349 5684 2025 2651
34460 48 14890 1523642 5684 2029 2654
34500 48 14899 1525992 5685 2031 2656
34550 48 14911 1528325 5685 2035 2657
34599 48 14916 1530664 5685 2037 2659
34648 48 14924 1532997 5686 2041 2660
34676 48 14934 1535365 5686 2043 2662
34724 48 14940 1537706 5686 2046 2663
34759 48 14947 1540065 5686 2048 2664
34823 48 14956 1542386 5686 2051 2666
34860 48 14964 1544740 5686 2054 2667
34908 48 14972 1547082 5686 2057 2669
34951 48 14980 1549423 5686 2060 2670
35022 48 14990 1551736 5687 2063 2672
35092 48 15001 1554048 5687 2066 2675
35128 48 15008 1556400 5687 2069 2676
